**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5
1r;,N,0,.,r,r;,.,r;,.,,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,,,,,
1i7,G:min7,1.842,newline,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,4.157,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,6.472,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,8.787,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,11.102,newline,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,13.389,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,15.676,.,voice,8G,Get,8f,Get,,,,,,,,,,
1i7,G:min7,17.963,.,voice,8G,Get,8f,Get,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,,,,,
*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,,,,,
1i7,G:min7,38.466,newline,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,40.734,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,43.002,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,45.27,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,47.538,newline,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,49.813,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,52.089,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,54.364,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,,,,,
*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,,,,,
1i7,G:min7,74.733,newline,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,77.011,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,79.29,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,81.568,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,83.847,newline,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,86.107,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,88.366,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
1i7,G:min7,90.626,.,voice,8B-,Jun-,8f,Jun-,,,,,,,,,,
*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,,,,,,,,,,
