**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
1r;,N,0,.,r,r,.,r;,.,1.0,,,,,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,1.0,,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,1.0,,,,,,,,,,,,,
1i7,G:min7,1.842,newline,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,4.157,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,6.472,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,8.787,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,11.102,newline,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,13.389,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,15.676,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,17.963,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,1.0,,,,,,,,,,,,,
*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,1.0,,,,,,,,,,,,,
1i7,G:min7,20.25,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,22.529,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,24.807,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,27.085,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,29.363,newline,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,31.639,.,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,33.915,.,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,36.191,.,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,1.0,,,,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,1.0,,,,,,,,,,,,,
1i7,G:min7,38.466,newline,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
1i7,G:min7,40.734,.,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
1i7,G:min7,43.002,.,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
1i7,G:min7,45.27,.,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
1i7,G:min7,47.538,newline,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
1i7,G:min7,49.813,.,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
1i7,G:min7,52.089,.,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
1i7,G:min7,54.364,.,voice,B-,Jun-,8f,Jun-,8.0,,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,1.0,,,,,,,,,,,,,
*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,1.0,,,,,,,,,,,,,
1i7,G:min7,56.639,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,58.9,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,61.161,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,63.422,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,65.683,newline,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,67.945,.,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
