**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
IV,E-:maj,IV,E-:maj,B-,_,.,9.673,1
I,B-:maj,I,B-:maj,d-,true,1,11.659,1
V,F:maj,V,F:maj,e-,star-,1,13.682,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,B-:maj,I,B-:maj,d-,true,1,36.015,1
V,F:maj,V,F:maj,e-,star-,1,38.060,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,B-:maj,I,B-:maj,d-,true,1,60.514,1
V,F:maj,V,F:maj,e-,star-,1,62.561,1
I,B-:maj,I,B-:maj,B-,_,.,64.620,1
*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,B-:maj,I,B-:maj,d-,true,1,97.079,1
V,F:maj,V,F:maj,e-,star-,1,99.175,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
IV,E-:maj,IV,E-:maj,c,-ne,2,119.816,1
I,B-:maj,I,B-:maj,d-,true,1,121.878,1
V,F:maj,V,F:maj,e-,star-,1,123.937,1
*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,F:maj,I,F:maj,A,,,8.871,1
I,F:maj,I,F:maj,A,,,11.713,1
V,C:maj,V,C:maj,G,,,14.625,1
I,F:maj,I,F:maj,A,,,20.361,1
I,F:maj,I,F:maj,F,,,27.513,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
I,F:maj,I,F:maj,A,,,34.601,1
I,F:maj,I,F:maj,A,,,37.455,1
IV,B-:maj,IVb,B-:maj/3,F,,,38.867,1
V,C:maj,V,C:maj,A,,,43.074,1
IV,B-:maj,IVb,B-:maj/3,f,,,45.938,1
I,F:maj,I,F:maj,A,,,48.761,1
IV,B-:maj,IVb,B-:maj/3,F,,,50.137,1
I,F:maj,I,F:maj,A,,,54.377,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,F:maj,I,F:maj,A,,,62.881,1
I,F:maj,I,F:maj,A,,,65.708,1
V,C:maj,V,C:maj,G,,,68.593,1
I,F:maj,I,F:maj,A,,,74.281,1
I,F:maj,I,F:maj,F,,,81.252,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
